AIRLINE_CODE,NAME,CARRIER_CATEGORY,CARRIER_IATA_CODE,CARRIER_ICAO_CODE,LOGO,CLASSIFICATION
6Q,Cham Wings Airlines,I,6Q,SAW,,3
6R,Aerounion,C,6R,TNO,,3
6R*,Mirny Air,A,6R,,,4
6T,Air Mandalay,A,6T,LMT,6T.gif,3
6T*,Almaty Aviation,C,6T,,,4
6U,ACG Air Cargo Germany,I,6U,ACX,,4
6V,Mars RK,A,6V,MRW,,4
6W,Saratov Airlines,A,6W,,,3
6Y,SmartLynx Airlines,A,6Y,ART,,4
6Z,Panavia,C,6Z,,,4
7A,Air Next,I,7A,NXA,,5
7B,Atlant-Soyuz,I,7B,AYZ,,3
7C,Coyne Airways,C,7C,COY,,3
7C*,Jeju Air,A,7C,JJA,,4
7D,Donbassaero,A,7D,UDC,,3
7E,Sylt Air,A,7E,AWU,,3
7F,First Air,I,7F,FAB,7F.gif,3
7G*,StarFlyer,A,7G,SFJ,,4
7H,Era Aviation,I,7H,ERH,7H.gif,3
7I,Insel Air,I,7I,INC,7I.gif,4
7J,Tajik Air,A,7J,,,4
7K,KOLAVIA,A,7K,KGL,,3
7L,Aerocaribbean,I,7L,CRN,7L.gif,3
7M,Mayair,A,7M,,,4
7N,Inland Aviation,I,7N,,,3
7O,Travel Service Hungary,A,7O,TVL,,4
7Q,Pan Am World Airways Dominicana,I,7Q,PWD,,4
7R,RusLine,I,7R,RLU,7R.gif,4
7S,Arctic Transportation,C,7S,RYA,7S.gif,3
7T,Trans North Aviation,A,7T,,,3
7T*,Air Glaciers,A,7T,AGV,,4
7U,Aviaenergo,I,7U,ERG,,4
7V,Federal Airlines,A,7V,FDR,,3
7W,Wind Rose Aviation,I,7W,WRC,,3
7Y,Mid Airlines,I,7Y,NYL,,4
7Z,Halcyonair,A,7Z,HCV,,3
8A,Atlas Blue,A,8A,BMM,8A.gif,3
8B,Bremenfly,I,8B,BFY,,3
8D,Expo Aviation,C,8D,EXV,,3
8D*,Servant Air,A,8D,,,4
8E,Bering Air,A,8E,BRG,,3
8F,STP Airways,A,8F,,,4
8G,Angel Airlines,A,8G,NGE,,4
8H,Highland Airways,I,8H,HWY,,4
8I,MyAir.com,A,8I,MYW,,4
8K,EVAS Air,I,8K,KMI,,4
8L,Lucky Air,I,8L,LKE,,4
8L*,Redhill Aviation,A,8L,,,4
8M,Myanmar Airways International,I,8M,MMA,8M.gif,3
8N,Barents AirLink,A,8N,NEF,,3
8O,West Coast Air,I,8O,,8O.gif,3
8P,Pacific Coastal Airlines,A,8P,PCO,,3
8Q,Baker Aviation,A,8Q,BAJ,,3
8R,TRIP Regional,I,8R,,,3
8S,TurboJET,I,8S,,,4
8T,Air Tindi,I,8T,,8T.gif,3
8U,Afriqiyah Airways,I,8U,AAW,8U.gif,3
8V,Wright Air,A,8V,WRT,,3
8W,Private Wings,A,8W,PWF,,3
8Y,Air Burundi,A,8Y,PBU,,3
8Y*,China Postal Airlines,C,8Y,,,4
8Z,Wizz Air Bulgaria,I,8Z,,,3
9A,Visa Airways,A,9A,,,4
9B,AccesRail,K,9B,,,4
9C,Spring Airways,I,9C,CQH,9C.gif,3
9D,Toumai Air,I,9D,,,4
9E,Pinnacle Airlines,I,9E,FLG,9E.gif,4
9F,EuroStar,K,9F,,,4
9GR,9G Rail,K,9G,,,4
9H,Dutch Antilles Express,I,9H,,,3
9I,Helitrans AS,I,9I,,,4
9J,Dana Air,I,9J,,,4
9K,Cape Air,A,9K,KAP,9K.gif,3
9K*,Amiyi Airlines,C,9K,,,4
9L,Colgan Air,I,9L,CJC,9L.gif,4
9M,Central Mountain Air,I,9M,GLR,9M.gif,3
9N,ANA & JP Express,A,9N,AJV,,3
9O,Transportes Aereos Inter,I,9O,,,4
9P,Palau National Airlines,I,9P,,,4
9Q,PB Air,I,9Q,PBA,9Q.gif,3
9R,Satena,A,9R,NSE,9N.gif,3
9T,Transwest Air,I,9T,ABS,,3
9U,Air Moldova,I,9U,MLD,9U.gif,3
9V,AVIOR,I,9V,ROI,,3
9W,Jet Airways (India),I,9W,JAI,9W.gif,2
9X,New Axis Airways,A,9X,AXY,,4
A2,Cielos Del Peru,I,A2,CIU,A2.gif,3
A3,Aegean Airlines,I,A3,AEE,A3.gif,2
A4,Aerocon,I,A4,,,3
A5,Airlinair,A,A5,RLA,,3
A6,Air Alps Aviation,A,A6,LPV,,3
A7,Air Comet,I,A7,MPD,,3
A8,Benin Golf Air,I,A8,PAY,,3
A9,Georgian Airways,I,A9,TGZ,,3
AA,American Airlines,I,AA,AAL,AA.gif,1
AAB,Abelag Aviation,I,,AAB,,4
AAG,Air Atlantique,I,,AAG,,4
AAI,Air Aurora,I,,AAI,,4
AAS,Anguilla Air Services,A,Q3,,,4
AAT,Austrian Air Transport,I,,AAT,,4
AB,Air Berlin,A,AB,BER,AB.gif,1
ABQ,Airblue,I,ED,ABQ,,4
AC,Air Canada,I,AC,ACA,AC.gif,1
ACP,Astral Aviation,C,8V,ACP,,4
ACS,Air Cess,C,,ACS,,4
ACT,"Flight Line, Inc.",I,,ACT,ACT.gif,4
AD,Azul Brazilian,I,AD,AZU,,3
ADB,Antonov Airlines,I,,ADB,,4
ADI,Audeli Air,A,,ADI,,4
ADN,Aero Dienst,I,,ADN,,4
AE,Mandarin Airlines,I,AE,MDA,,3
AEP,AEROTEC,A,,AEP,,4
AEY,Air Italy,I,I9,AEY,,4
AF,Air France,I,AF,AFR,AF.gif,1
AFW,Africa World Airlines,A,AW,AFW,,4
AG,Air Contractors,C,AG,ABR,AG.gif,4
AGO,Angola Air Charter,B,,AGO,,4
AH,Air Algerie,I,AH,DAH,AH.gif,2
AHC,Azal Avia Cargo,C,,AHC,,4
AI,Air India,I,AI,AIC,AI.gif,2
AIB,Airbus Industrie,I,,AIB,,4
AIK,African Airlines,A,,AIK,,4
AIN,African International Airways,I,,AIN,,4
AJ,AeroContractors,I,AJ,NIG,AJ.gif,3
AJA,AnadoluJet,A,,AJA,,3
AJI,Ameristar Jet Charter,I,,AJI,,4
AJK,Allied Air,C,4W,AJK,,4
AK,Airasia,I,AK,AXM,,3
AKY,Yak Service,I,,AKY,,4
AL,Midwest Connect,A,AL,SYX,AL.gif,4
ALC,American Linehaul Corporation,I,,ALC,,4
ALO,Allegheny Airlines,A,,ALO,ALO.gif,4
ALV,Alas de Venezuela,I,,ALV,,4
AM,Aeromexico,I,AM,AMX,AM.gif,1
AMF,Ameriflight,C,,AMF,AMF.gif,4
AMK,Amerer Air,C,,AMK,,4
AMV,AMC Airlines,I,,AMV,,4
AO,Avianova,A,AO,NET,,3
AOS,Aeros Del Sol,A,,AOS,,4
AP,Air One,I,AP,ADH,AP.gif,3
APC,Airpac Airlines,C,,APC,,4
APF,Amapola,C,,APF,,4
APJ,Peach Aviation,A,MM,APJ,,4
AQU,AirQuarius Aviation,B,,AQU,,4
AR,Aerolineas Argentinas,I,AR,ARG,AR.gif,1
ARW,Jamaica Air Shuttle,I,J6,ARW,,4
AS,Alaska Airlines,I,AS,ASA,AS.gif,1
AT,Royal Air Maroc,I,AT,RAM,AT.gif,1
ATM,Airlines of Tasmania,A,FO,ATM,,3
ATN,Air Transport International,J,8C,ATN,ATN.gif,4
AU,Austral,I,AU,AUT,,4
AV,AVIANCA,I,AV,AVA,AV.gif,2
AW,Dirgantara Air,A,AW,DIR,,3
AWC,Titan Airways,A,,AWC,AWC.gif,4
AWK,Airwork (NZ),C,,AWK,,4
AWS,Arab Wings,A,,AWS,,4
AWV,Airwave Transport,C,,AWV,,4
AX,Trans States Airlines,I,AX,LOF,AX.gif,4
AY,Finnair,I,AY,FIN,AY.gif,1
AZ,Alitalia,I,AZ,AZA,AZ.gif,1
AZI,Astra Airlines,B,A2,AZI,,4
AZM,Aerocozumel,C,,AZM,,4
B2,Belavia,I,B2,BRU,B2.gif,3
B3,Bellview Airlines,I,B3,BLV,B3.gif,3
B4*,Bankair,C,B4,BKA,,4
B5,East African Safari Air Express,I,B5,FTL,B5.gif,4
B6,JetBlue Airways,I,B6,JBU,B6.gif,2
B7,Uni Airways,I,B7,UIA,B7.gif,3
B8,Eritrean Airlines,I,B8,ERT,B8.gif,3
B9,Iran Air Tours,A,B9,IRB,,3
BA,British Airways,I,BA,BAW,BA.gif,1
BAB,Bahrain Air,A,,,,4
BAC,BAC Leasing,A,,BAC,,4
BAI,Boutique Air,A,4B,,,4
BAX,BAX Global,C,8W,,,4
BB,Seaborne Airlines,A,BB,,BB.gif,3
BC,Skymark Airlines,I,BC,SKY,BC.gif,3
BCC,Business Air,I,8B,BCC,,4
BD,bmi,I,BD,BMA,BD.gif,1
BDI,Air & Training center-West,I,,BDI,,4
BE,FlyBE,I,BE,BEE,BE.gif,2
BEK,Bek Air,A,Z9,,,4
BEL,"Transportes Aereos Belem Amazonia, S.A.",I,,BEL,,4
BES,Aero Services,I,W4,BES,,4
BEZ,Kingfisher Air Service,C,,BEZ,,4
BF,Bluebird Cargo,C,BF,BBD,,3
BF*,Aero-Service,A,BF,RSR,,3
BG,Biman Bangladesh Airlines,I,BG,BBC,BG.gif,3
BGA,Airbus Transport International,I,,BGA,BGA.gif,4
BGH,BH Air,I,,BGH,,4
BGM,Ak Bars Aero,A,,BGM,,4
BH,Hawkair Aviation,A,BH,,BH.gif,3
BHA,Buddha Air,I,U4,BHA,,4
BHL,Bristow Helicopters,B,,BHL,,4
BI,Royal Brunei Airlines,I,BI,RBA,BI.gif,3
BIA,Baltic International Airlines,A,,BIA,,4
BID,Binair,I,,BID,,4
BIE,Air Mediterranee,I,,BIE,BIE.gif,4
BJ,Nouvelair Tunisie,A,BJ,LBT,BJ.gif,3
BK,Okay Airways,I,BK,,,3
BL,Pacific Airlines,I,BL,PIC,BL.gif,3
BLE,Blue Line,I,,BLE,BLE.gif,4
BM,Bayu Indonesia,C,BM,,,4
BMR,bmi Regional,I,BD,BMR,,1
BMY,Bimini Island Air,B,,BMY,,4
BN,Bahrain Air,I,BN,,BN.gif,3
BNC,Sundance Air,C,,BNC,,4
BNW,British North West Airlines,I,,BNW,,4
BO,Bouraq Indonesia Airlines,I,BO,BOU,,3
BOI,Aboitiz Air,I,,BOI,,4
BOX,AeroLogic,C,3S,BOX,,4
BP,Air Botswana,I,BP,BOT,BP.gif,3
BPS,Budapest Aircraft Service,I,,BPS,,4
BQ,Aeromar Airlines,I,BQ,ROM,,4
BQB,BQB Lineas,A,5Q,BQB,,4
BR,EVA Air,I,BR,EVA,BR.gif,2
BRB,BRA Transportes Aeroes (Brasair),A,,BRB,,3
BRP,AeroBratsk,A,,BRP,,4
BRW,Bright Aviation Services,I,,BRW,,4
BS,British International,A,BS,BIH,,3
BSK,Miami Air International,B,,BSK,,4
BST,Bestair,B,,BST,,4
BSY,Big Sky Airlines,I,GQ,BSY,GQ.gif,3
BT,airBaltic,I,BT,BTI,BT.gif,3
BTA,Continental Express,A,,,BTA.gif,4
BTK,Bratsk Air,A,,BTK,,4
BU,SAS Norway,I,BU,CNO,BU.gif,4
BUC,Bulgarian Air Charter,I,,BUC,,4
BV,Blue Panorama Airlines,I,BV,BPA,,4
BVI,BVI Airways,A,XV,BVI,,4
BVN,Baron Aviation Services,C,,BVN,,4
BW,Caribbean Airlines,I,BW,BWA,BW.gif,2
