AIRLINE_CODE,NAME,CARRIER_CATEGORY,CARRIER_IATA_CODE,CARRIER_ICAO_CODE,LOGO,CLASSIFICATION
FLX,Flight Express,C,,FLX,,4
FM,Shanghai Airlines,I,FM,CSH,FM.gif,3
FN,Regional Air Lines,I,FN,RGL,FN.gif,3
FNA,Norlandair,A,,FNA,,3
FO,Felix Airways,I,FO,FXX,,3
FOB,Ford Motor,I,,FOB,,4
FOM,Freedom Air,A,,FOM,FOM.gif,4
FP,Freedom Air,I,FP,FRE,,3
FQ,Brindabella Airlines,A,FQ,,FQ.gif,3
FQ*,Thomas Cook,A,FQ,TCW,,4
FR,Ryanair,I,FR,RYR,FR.gif,1
FRG,"Freight Runners Express, Inc.",I,,FRG,,4
FRN,FirstNation Airways,A,,FRN,,4
FS,ItAli Airlines,A,FS,ACL,,3
FS*,Fueguinos,C,FS,STU,,4
FT,Siem Reap Airways International,I,FT,SRH,,3
FU,Air Littoral,I,FU,LIT,FU.gif,3
FUA,BudgetAir,A,FU,,,4
FV,Rossiya,I,FV,PLK,,2
FW,IBEX,A,FW,,FW.gif,3
FX,FedEx,C,FX,FDX,FX.gif,2
FXR,Foxair,I,,FXR,,4
FY,Firefly,I,FY,,,4
FYG,Flying Service,I,,FYG,,4
FYN,Comfort Air,I,,FYN,,4
FZ,Flydubai,A,FZ,FDB,,4
G0,Ghana International Airlines,A,G0,GHB,,4
G2,Avirex Gabon,A,G2,VXG,,3
G3,Gol Air Transport,I,G3,GLO,G3.gif,2
G4,Allegiant Air,A,G4,AAY,G4.gif,3
G5,China Express Airlines,I,G5,HXA,,4
G6*,Angkor Airways,I,G6,AKW,,4
G7,GoJet Airlines,I,G7,GJS,,4
G8,GoAir,A,G8,GOW,,3
G9,Air Arabia,I,G9,ABY,G9.gif,3
GA,Garuda Indonesia,I,GA,GIA,GA.gif,2
GAF,German Airforce,I,,GAF,,4
GB,ABX Air,C,GB,ABX,ABX.gif,4
GBG,Global Jet,B,7G,GBG,,4
GC,Gambia International Airlines,I,GC,GNR,,3
GCO,Gemini Air Cargo,C,,GCO,GCO.gif,4
GD,Grandstar Cargo,C,GD,GSC,,3
GE,TransAsia Airways,I,GE,TNA,GE.gif,3
GF,Gulf Air,I,GF,GFA,GF.gif,2
GG,Air Comores,I,GG,,,4
GH,Globus,J,GH,GLP,,4
GI,ITEK-AIR,I,GI,IKA,,3
GJ,Eurofly,I,GJ,EEZ,GJ.gif,3
GJT,Girjet,I,,GJT,,4
GK,Go One Airways,I,GK,,,3
GL,Air Greenland,I,GL,GRL,GL.gif,2
GL*,AirGlow Aviation,D,GL,,,4
GM,Air Slovakia,A,GM,SVK,,3
GMA,Gama Aviation,I,,GMA,,4
GO,Go,I,GO,GOE,GO.gif,3
GO*,Kuzu Airlines Cargo,C,GO,KZU,,4
GOZ,Groznyy Avia,A,,GOZ,,4
GP,Pantanal,A,GP,PTN,,3
GP*,Gestair,A,GP,GES,,3
GQ,Sky Express S.A.,A,GQ,,,3
GR,Aurigny Air Services,I,GR,AUR,GR.gif,3
GR*,Gemini Air Cargo,C,GR,,GR@.gif,3
GRE,Air Scotland,A,,GRE,GRE.gif,4
GS,Tianjin Airlines,I,GS,GCR,,3
GSS,Global Supply Systems,C,XH,GSS,,4
GSW,Sky Wings,I,ND,GSW,,4
GT,GB Airways,I,GT,GBL,GT.gif,4
GU,AVIATECA,I,GU,,,3
GV,Grant Aviation,A,GV,GUN,,2
GW,Air Lines Of Kuban,I,GW,KIL,,3
GX,JetX,A,GX,JXX,GX.gif,3
GXL,XL Airways Germany,B,,GXL,,4
GY,Gabon Airlines,I,GY,GBK,,4
GZ,Air Rarotonga,A,GZ,,GZ.gif,3
GZA,Excellent Air,I,,GZA,,4
H1,Hooters Air,A,H1,,H1.gif,3
H2,Sky Airline,I,H2,SKU,,3
H3,Harbour Air,I,H3,,,3
H4,Heli Securite,A,H4,,,3
H5,Magadan Airlines,I,H5,MVL,,3
H6,Hageland Aviation,A,H6,HAG,,2
H7,Eagle Air,A,H7,EGU,H7.gif,3
H8,Delavia - Far East Airways,I,H8,KHB,H8.gif,3
H9,Pegasus,I,H9,,,4
HA,Hawaiian Airlines,I,HA,HAL,HA.gif,3
HAD,Air d'Ayiti,I,H8,HAD,,4
HAT,Air Taxi,I,,HAT,,4
HB,Homer Air,A,HB,,,4
HCC,Iceland Express,J,HC,HCC,,4
HD,Air Do,I,HD,ADO,HD.gif,3
HE,Luftfahrtgesellschaft Walter,A,HE,LGW,HE.gif,3
HFY,HiFly,I,5K,HFY,,4
HG,Niki,A,HG,NLY,,3
HGH,Atlantic Air Lift,A,,HGH,,4
HH,Taban Air,I,HH,TBM,,4
HI,Papillon Airways,A,HI,,,4
HJ,Tasman Cargo,C,HJ,TMN,,4
HK,Four Star Aviation,C,HK,FSC,,3
HK*,Yangon Airways,A,HK,,HK@.gif,3
HKI,Hawkaire,I,,HKI,,4
HLQ,Harlequin Air,A,JH,HLQ,HLQ.gif,4
HM,Air Seychelles,I,HM,SEY,HM.gif,3
HMR,North American Charters,I,,HMR,,4
HN*,Heavylift Cargo,C,HN,,HN@.gif,4
HO,Juneyao,I,HO,DKH,,4
HOA,Hola Airlines,B,,HOA,,4
HP,America West,I,HP,AWE,HP.gif,1
HQ,Harmony Airways,I,HQ,HMY,HQ.gif,3
HR,Hahn Air Lines,I,HR,HHN,,3
HS,Svenska Direktflyg,A,HS,HSV,,3
HT,Aeromist,I,HT,,,3
HTG,Grossman Air Service,I,,HTG,,4
HU,Hainan Airlines,I,HU,CHH,HU.gif,2
HV,Transavia,I,HV,TRA,HV.gif,2
HW,North-Wright Airways,A,HW,NWL,,3
HW*,TransAustralian Air Express,C,HW,,,4
HX,Hong Kong Airlines ,I,HX,CRK,,3
HY,Uzbekistan Airways,I,HY,UZB,HY.gif,2
HZ,SAT,I,HZ,SHU,HZ.gif,3
I2,Munich Airlines,A,I2,,,4
I3,Ivoirienne de Transport Aerien,I,I3,,,4
I4,Interstate Airlines,I,I4,,,4
I4A,Airlink,A,I4,,,4
I5,Societe Nouvelle Air Mali,I,I5,CMM,,4
I7,Paramount Airways,I,I7,,,4
I8,Izhavia,I,I8,IZA,,4
I9,Indigo,A,I9,,,4
IA,Iraqi Airways,I,IA,IAW,IA.gif,4
IAE,IrAero,I,IO,IAE,,4
IB,Iberia,I,IB,IBE,IB.gif,1
IBT,Ibertrans Aerea,A,,IBT,,4
IC,Indian Airlines,I,IC,IAC,IC.gif,2
ID,Interlink Aviation,I,ID,,,3
IE,Solomon Airlines,I,IE,SOL,IE.gif,3
IF,Islas Airways,I,IF,,IF.gif,3
IFA,Fai Airservice,I,,IFA,,4
IFL,IFL Group,B,,IFL,,4
IFT,Interflight,I,,IFT,,4
IG,Meridiana,I,IG,ISS,IG.gif,3
IH,Falcon Air,I,IH,FCN,IH.gif,4
II,IBC Airways,C,II,CSQ,,3
IJ,Great Wall Airlines,C,IJ,GWL,,3
IK,IMAIR Airline,I,IK,ITX,IK.gif,3
IL,LankAir,A,IL,,,4
IM,Menajet,A,IM,,IM.gif,3
IMP,Hellenic Imperial Airways,I,HT,IMP,,4
IN,Macedonian Airlines,A,IN,MAK,,3
INJ,InterJet,I,,INJ,,4
IP,Atyrau Aue Joly,I,IP,,,4
IQ,Augsburg Airways,I,IQ,AUB,IQ.gif,4
IR,Iran Air,I,IR,IRA,IR.gif,2
IRO,CSA Air,C,,IRO,,4
IRY,Eram Airlines,B,,IRY,,4
IS,Island Airlines,A,IS,ISA,IS.gif,3
IT,Kingfisher,I,IT,KFR,IT.gif,3
IU,Hevi Lift (PNG),A,IU,,,4
IV,Wind Jet,A,IV,,,3
IW,Wings Air,I,IW,,,4
IWD,Iberworld Airlines,I,TY,IWD,,4
IX,Air India Express,I,IX,AXB,,4
IY,Yemen Airways,I,IY,IYE,,3
IZ,Arkia - Israeli Airlines,I,IZ,AIZ,IZ.gif,3
J0,Jet Link Express,I,J0,,,4
J2,AZAL,I,J2,AHY,J2.gif,3
J3,Northwestern  Airlease,I,J3,PLR,,3
J4,Buffalo Airways,A,J4,BFL,,4
J5,Alaska Seaplane,A,J5,,,3
J6,Larry's Flying Service,A,J6,,,3
J7,Centre Avia Airlines,A,J7,CVC,,3
J8,Berjaya Air,A,J8,BVT,J8.gif,3
J9,Jazeera Airways,A,J9,JZR,,4
JA,BH Airlines,I,JA,BON,,4
JAC,Aircompany Continent,I,LK,,,4
JAE,Jade Cargo,C,JI,JAE,,4
JAF,Jetairfly,I,TB,JAF,,4
JAG,Jetalliance Flugbetriebs,I,,JAG,,4
JAV,Jordan Aviation,I,,JAV,,4
JB,Helijet International,I,JB,JBA,JB.gif,3
JBW,Jubba Airways Limited,I,3J,JBW,,4
JC,JAL Express,A,JC,JEX,JC.gif,3
JCX,Jet Connection,I,,JCX,JCX.gif,4
JD,Beijing Capital Airlines,I,JD,DER,,4
JE,Mango,A,JE,MNO,,4
JEF,Jetflite,I,,JEF,,4
JEM,Emerald Airways,I,,JEM,JEM.gif,4
JF,L. A. B. Flying Service,I,JF,LAB,,3
JFU,Jet4You,I,8J,JFU,,4
JG,JetTime,B,,JTG,,4
JH,Nordeste,I,JH,NES,,4
JI,Eastern Caribbean Airlines,A,JI,,,4
JIA,PSA Airlines,A,,JIA,JIA.gif,4
JJ,TAM Linhas Aereas,I,JJ,TAM,JJ.gif,1
JL,JAL,I,JL,JAL,JL.gif,1
JM,Air Jamaica,I,JM,AJM,JM.gif,3
JO,JALways,I,JO,JAZ,JO.gif,3
JP,Adria Airways,I,JP,ADR,JP.gif,3
JQ,Jetstar Airways,A,JQ,JST,JQ.gif,3
JR,Joy Air,I,JR,JOY,,2
JS,Air Koryo,I,JS,KOR,JS.gif,4
JT,Transair,C,JT,,,4
JT*,Lion Airlines,A,JT,LNI,,3
JU,Jat Airways,I,JU,JAT,JU.gif,3
JUS,USA Jet Airlines,C,UJ,JUS,,4
JV,Bearskin Airlines,I,JV,BLS,JV.gif,3
JW,Arrow Air,C,JW,APW,JW.gif,3
JW*,Skippers Aviation,A,JW,,,4
JX,Jett8 Airlines Cargo,C,JX,JEC,,3
JY,Air Turks And Caicos,A,JY,IWY,JY.gif,3
JZ,Skyways,I,JZ,SKX,JZ.gif,2
K2,EuroLot,A,K2,ELO,K2.gif,4
K3,Taquan Air Services,A,K3,TQN,,3
K4,Kalitta Air,C,K4,CKS,K4.gif,3
K4*,Kronflyg,A,K4,,,4
K5,SeaPort Airlines,A,K5,SQH,,4
K5*,Aban Air,C,K5,,,4
K6,Cambodia Angkor Air,I,K6,VAV,,4
K7,KoralBlue,A,K7,KBR,,3
K8,Dutch Caribbean Airline,I,K8,,K8.gif,4
K9,Skyward Aviation,A,K9,SGK,,3
KA,Dragonair,I,KA,HDA,,2
KAJ,Karthago Airlines,A,5R,KAJ,,4
KB,Druk Air,I,KB,DRK,,3
KBZ,Air KBZ,I,K7,KBZ,,4
KC,Air Astana,A,KC,KZR,,4
KD,KD Avia,A,KD,KNI,,4
KE,Korean Air,I,KE,KAL,KE.gif,2
KF,Blue1,I,KF,BLF,KF.gif,2
KFA,Kelowna Flightcraft Air Charter,B,KW,KFA,KW.gif,4
KFS,Kalitta Flying Service,B,,KFS,,4
KG,Aerogaviota,I,KG,,,4
KH,Aloha Air Cargo,C,KH,AAH,,3
KHO,KHORS,A,,KHO,,4
KI,Adam Skyconnection,A,KI,,,3
KJ,Asian Air,A,KJ,,,4
KK,Atlasjet,I,KK,KKK,KK.gif,4
KL,KLM,I,KL,KLM,KL.gif,1
KM,Air Malta,I,KM,AMC,KM.gif,2
KN,China United Airlines,I,KN,CUA,,3
KN*,Maroomba Airlines,I,KN,,,4
KO,Alaska Central Express,C,KO,AER,KO.gif,3
KP,ASKY Airlines,I,KP,,,4
KQ,Kenya Airways,I,KQ,KQA,KQ.gif,2
KR,Kitty Hawk,C,KR,KHA,KR@.gif,3
KR*,Comores Aviation,A,KR,,,4
KS,Penair,I,KS,PEN,KS.gif,3
KSM,Kosmo,I,,KSM,,4
KT,Katami Air,A,KT,,,4
KTS,Kotlas Air,I,,KTS,,4
KU,Kuwait Airways,I,KU,KAC,KU.gif,3
KV,Kavminvodyavia,A,KV,MVD,,3
KW,Wataniya Airways,I,KW,WAN,,4
KX,Cayman Airways,I,KX,CAY,KX.gif,3
KY,Kunming Airlines,I,KY,KNA,,4
KZ,Nippon Cargo,C,KZ,NCA,KZ.gif,3
L1,Unknown,A,L1,,,4
L2,Lynden Air Cargo,C,L2,,L2.gif,3
L3,Lynx Aviation,A,L3,,,3
L3*,DHL de Guatemala,C,L3,JOS,,4
L4,Lauda Air,I,L4,LDI,,3
L5,Helikopter Service,A,L5,LTR,,3
L5*,Lufttransport,I,L5,,,4
L6,Tbilaviamsheni,A,L6,,,4
L7,LAOAG International Airlines,A,L7,LPN,,3
L8*,Laparkan Airways,C,L8,,,4
L9,Belle Air Europe,I,L9,BAL,,4
LA,Lan Airlines,I,LA,LAN,LA.gif,1
LAU,Lineas Aereas Suramericanas,A,,LAU,,4
LB,LAB,I,LB,LLB,,3
LBQ,Quest Diagnostics,C,,LBQ,,4
LC,Varig Logistica,C,LC,,,3
LD,AHK,C,LD,AHK,,3
LE,Laparkan Airways,C,LE,,,4
LET,Aerouneas Ejecutivas,I,,LET,,4
LF,flynordic,I,LF,NDC,,3
LFE,Luxflight Executive,I,,LFE,,4
LFM,Airlift Service,I,3I,LFM,,4
LG,Luxair,I,LG,LGL,LG.gif,2
LGE,Lego,I,,LGE,,4
LH,Lufthansa,I,LH,DLH,LH.gif,1
LHI,Lufthansa Italia,I,,,,2
LHS,Luhansk,A,,LHS,,4
LI,LIAT,I,LI,LIA,LI.gif,3
LIS,Eastern Express,I,,LIS,,4
LJ,Jin Air,A,LJ,JNA,,3
LL,Lineas Aereas Allegro,I,LL,GRO,,3
LM,Livingston,I,LM,LVG,,3
LN,Libyan Arab Airlines,I,LN,LAA,,3
LNX,London Executive Aviation,I,,LNX,,4
LO,LOT - Polish Airlines,I,LO,LOT,LO.gif,1
LOG,Loganair,A,LC,LOG,,4
LP,Lan Peru,I,LP,LPE,LP.gif,3
LR,LACSA,I,LR,LRC,LR.gif,3
LS,Jet2.com,I,LS,EXS,LS.gif,3
LT,LTU International Airways,I,LT,LTU,LT.gif,1
LTE,LTE International Airways,I,XO,LTE,LTE.gif,4
LU,LanExpress,I,LU,,,4
LV,Albanian Airlines,I,LV,LBC,LV.gif,3
LW,Pacific Wings,I,LW,ANV,LW.gif,3
LX,SWISS,I,LX,SWR,LX.gif,1
LXJ,Bombardier Business Jet Solutions,C,,LXJ,,4
LY,El Al,I,LY,ELY,LY.gif,1
LYD,Lydd Air,A,,LYD,,4
LYM,Key Lime Air,C,,LYM,LYM.gif,4
LZ,Belle Air,I,LZ,LBY,,4
M2,Mahfooz Aviation,A,M2,MZS,,4
M2*,Mario's Air,C,M2,,,4
M3,ABSA,C,M3,TUS,M3.gif,4
M3*,North Flying,A,M3,NFA,,3
M4,Avioimpex,I,M4,AXX,,3
M5,Kenmore Air,A,M5,KEN,M5.gif,3
M6,Amerijet International,C,M6,AJT,M6.gif,3
M7,Marsland Aviation,A,M7,MSL,,3
M9,Motor-Sich,I,M9,MSI,,3
MA,Malev,I,MA,MAH,MA.gif,1
MAI,Max Aviation,A,L4,,,4
MAL,Morningstar Air,I,,MAL,MAL.gif,4
MAU,Mauritania Airlines International,I,L6,MAI,,4
MB,MNG Airlines Cargo,C,MB,MNB,MB.gif,3
MC,Air Mobility Command,I,MC,RCH,,4
MCA,MCA Airlines,A,,MCA,,4
MD,Air Madagascar,I,MD,MDG,MD.gif,2
MDH,Madina Air,C,3Y,MDH,,4
MDM,Med Avia,B,,MDM,,4
ME,Middle East Airlines,I,ME,MEA,ME.gif,3
MEI,Merlin Airways,D,,MEI,,4
MF,Xiamen Airlines,I,MF,CXA,MF.gif,2
MG,Midex Airlines,A,MG,MIX,,4
MH,Malaysia Airline,I,MH,MAS,MH.gif,1
MHS,Air Memphis,I,,MHS,,4
MI,Silkair,I,MI,SLK,MI.gif,3
MJ,Mihin Lanka,I,MJ,,,4
MJL,Jet Line International,I,,MJL,,4
MK,Air Mauritius,I,MK,MAU,MK.gif,2
MKD,MAT Airways,I,6F,MKD,,2
ML,ATTICO,I,ML,,,4
MMZ,EuroAtlantic Airways,J,MM,MMZ,MMZ.gif,4
MN,Comair Express,I,MN,CAW,,3
MNG,Aero Mongolia,I,,MNG,,4
MNI,Maina Air,A,,MNI,,4
MNL,Miniliner,A,,MNL,,4
MO,Calm Air International,I,MO,CAV,MO.gif,3
MP,Martinair,I,MP,MPH,MP.gif,3
MPE,Air Norterra,I,,MPE,,4
MPK,Air Indus,A,I6,MPK,,4
MQ,American Eagle,A,MQ,EGF,MQ.gif,2
MR,Air Mauritanie,I,MR,MRT,MR.gif,3
MRA,Martinaire,C,,MRA,,4
MS,Egyptair,I,MS,MSR,MS.gif,2
MSA,Mistral Air,C,,MSA,,4
MSC,Air Cairo,I,,MSC,,4
MTL,RAF-Avia,I,,MTL,,4
MTN,Mountain Air Cargo,C,,MTN,,4
MU,China Eastern Airlines,I,MU,CES,MU.gif,1
MUA,Murray Air,C,5M,MUA,,4
MV,Armenian International Airways,I,MV,RML,,3
MVI,Metro Business Aviation,I,,MVI,,4
MW,Mokulele Airlines,A,MW,BUG,,3
MY,Aerotransportes Mas de Carga,C,MY,MAA,,3
MY*,MAXjet,A,MY,MXJ,,3
MYD,Maya Island Air,A,MY,MYD,,4
MZ,Merpati Nusantara Airlines,I,MZ,MNA,MZ.gif,3
MZA,Irtysh-Air,A,IH,MZA,,4
N2,Aerolineas Internacionales,A,N2,LNT,,4
N2*,Kabo Airlines,I,N2,QNK,,4
N3,Aerolineas MAS,I,N3,,,3
N4,Trans Air Benin,I,N4,TNB,,4
N5,Skagway Air,I,N5,SGY,,3
N6,Alpine Air Private Ltd.,I,N6,,,4
N7,Lagun Air,I,N7,,,4
N8,National Airlines,A,N8,,,4
N9,Kabo Air,I,N9,NCN,,3
N9*,Nordic Solutions,I,N9,,,4
NA,North American Airlines,I,NA,NAO,NA.gif,3
NAS,Northeast Aviation Services,C,,NAS,,4
NAW,Newair,A,,NAW,,4
NB,Sterling European,I,NB,SNB,NB.gif,2
NC,Northern Air Cargo,C,NC,NAC,NAC.gif,3
NCB,North Caribou Flying Service Ltd.,I,,NCB,NCB.gif,4
NE,Skyeurope Airlines,A,NE,ESK,,3
NF,Air Vanuatu,I,NF,AVN,NF.gif,3
NG,Lauda Air,I,NG,LDA,,4
NGF,Angel Flight America,C,,NGF,,4
NH,ANA - All Nippon Airways,I,NH,ANA,NH.gif,1
NHG,NHT Linhas Aereas,I,,NHG,,4
NI,Portugalia Airlines,I,NI,PGA,NI.gif,2
NJ,Nordisk Aviation,C,NJ,VGD,,4
NJE,Netjets,B,,NJE,,4
NK,Spirit Airlines,I,NK,NKS,NK.gif,2
NL,Shaheen Air International,I,NL,SAI,NL.gif,3
NLK,Elbrus-Avia Air,A,,NLK,,4
NM,Manx2,A,NM,,,3
NN,VIM Airlines,I,NN,MOV,,4
NO,Neos,A,NO,NOS,,2
NOK,Nok Mini,A,5E,,,4
NP,Skytrans,A,NP,,,3
NQ,Air Japan Company,A,NQ,AJX,NQ.gif,3
NR,Pamir Air,A,NR,PIR,,4
NRA,Norfolk Air,I,N5,,,4
NRC,North Sea Airways,I,,NRC,,4
NS,Hebei Airlines,I,NS,,,4
NSH,NS Hispeed,K,,,,4
NT,Binter Canarias,A,NT,IBB,NT.gif,2
NTH,Hokkaido Air System,B,,NTH,,3
NTJ,NextJet,A,2N,NTJ,,4
NTL,Air National,A,,NTL,,4
NU,Japan Transocean Air,I,NU,JTA,,3
NV,Air Central,A,NV,CRF,,4
NVI,Avial,I,,NVI,,4
NVR,Novair,I,,NVR,NVR.gif,4
NW,Northwest Airlines,I,NW,NWA,NW.gif,1
NX,Air Macau,I,NX,AMU,NX.gif,3
NY,Air Iceland,I,NY,FXI,NY.gif,3
NZ,Air New Zealand,I,NZ,ANZ,NZ.gif,1
NZM,Mount Cook Airlines,A,NM,NZM,,4
O2,Jet Air,I,O2,JEA,,4
O4,Antrak Air,I,O4,ABV,,4
O6,OceanAir,I,O6,ONE,,4
O8,Axis Lines,A,O8,OHK,,3
O9,Nova Airlines,I,O9,NOV,,4
OA,Olympic Air,I,OA,OAL,OA.gif,2
OAE,Omni Air International,J,OY,OAE,,4
OAI,Tor Air,A,OD,OAI,,4
OB,Boliviana de Aviacion,I,OB,,,3
OC,Oriental Air Bridge,A,OC,NGK,,4
OCN,Octavia Airlines,I,,OCN,,4
OD,Natalco Airlines,A,OD,NCO,,4
OE*,Asia Overnight Express,C,OE,AOT,,4
OF,Air Finland,I,OF,,OF.gif,3
OG,One-Two-GO Airlines,A,OG,OTG,,3
OH,Comair,I,OH,COM,OH.gif,4
OHY,Onur Air,I,8Q,OHY,OHY.gif,4
OI,Italia Tour Airlines,A,OI,,,3
OJ,Overland Airways,I,OJ,OLA,,4
OJF,Occitania Jet Fleet,A,,OJF,,4
OK,Czech Airlines,I,OK,CSA,OK.gif,1
OL,OLT,I,OL,OLT,,3
OLS,SOL Lineas Aereas,A,8R,OLS,,4
OM,Miat - Mongolian Airlines,I,OM,MGL,,3
ON,Our Airline,I,ON,RON,,3
ONZ,Jetconnect,A,,ONZ,,4
OO,SkyWest Airlines,I,OO,SKW,OO.gif,4
OP,Olympic Airlines,I,OP,OAL,,3
OPT,Flight Options,C,,OPT,,4
OQ,Queen Air,I,OQ,QNA,,4
OR,Arkefly,I,OR,TFL,,4
OS,Austrian,I,OS,AUA,OS.gif,1
OT,Aeropelican Air Services,A,OT,PEL,,3
OU,Croatia Airlines,I,OU,CTN,OU.gif,2
OV,Estonian Air,I,OV,ELL,OV.gif,3
OVA,Aero Nova,I,,OVA,,4
OW,Executive Airlines,I,OW,EXK,,4
OX,Orient Thai Airlines,I,OX,,OX.gif,3
OXE,Gregg Air,I,,OXE,,4
OY,Andes Lineas Aereas,I,OY,ANS,,4
OZ,Asiana Airlines,I,OZ,AAR,OZ.gif,2
P0,Proflight Commuter Services,A,P0,,,4
P1,"Aviation Technologies, Inc.",A,P1,,,4
P2,Air Kenya Express,I,P2,XAK,,2
P2*,Panair,A,P2,,9P.gif,4
P3,Passaredo Linhas Aereas ,A,P3,PTB,,4
P3*,Premier Trans Aire,C,P3,,,4
P4,Aero Lineas Sosa,A,P4,NSO,,3
P5,Copa Airlines Colombia,I,P5,RPB,P5.gif,3
P6,Pascan Aviation,A,P6,PSC,,4
P7,Russian Sky Airlines,I,P7,ESL,P7.gif,3
P8,Air Mekong,I,GP,MKG,,4
P9,Peruvian Airlines,I,P9,,,3
PA,Florida Coastal Airlines,A,PA,FCL,,3
PAG,Perimeter Airlines,I,,PAG,PAG.gif,4
PAO,Polynesian Airlines,I,,PAO,,4
PB,Provincial Airlines,I,PB,PRV,,3
PBI,Pacific Blue Airlines,A,DJ,PBI,,2
PC,Pegasus Airlines,I,PC,PGT,PGT.gif,3
PCM,"Westair Industries, Inc.",C,,PCM,,4
PD,Porter Airlines,I,PD,POE,,3
PDT,Piedmont Airlines,A,,PDT,PDT.gif,4
PE,Phoebus Apollo Aviation,I,PE,PHB,,3
PEP,PENTA,I,,PEP,,4
PEV,Peoples Vienna Line,A,PE,PEV,,4
PF,Primera Air,I,PF,PRI,,3
PG,Bangkok Airways,I,PG,BKP,PG.gif,3
PH,Transavia Denmark ,I,PH,,,3
PI,Sun Air (Pacific),I,PI,SUF,,3
PJ,Air Saint-Pierre,I,PJ,SPM,,3
PK,Pakistan International Airlines,I,PK,PIA,PK.gif,2
PL,Airstars Airways,C,PL,,,4
PL*,Southern Air Charter,A,PL,,,3
PM,Pamir Air,A,PM,,,3
PN,China West Air,I,PN,CHB,,4
PO,Polar Air Cargo,C,PO,PAC,PO.gif,3
PP,Jet Aviation Business,B,PP,PJS,,4
PQ,Tailwind,I,PQ,,,4
PR,Philippine Airlines,I,PR,PAL,PR.gif,3
PS,Ukraine International,I,PS,AUI,PS.gif,3
PST,Air Panama,A,,PST,,4
PSW,Pskov Avia,I,,PSW,,4
PT,West Air,C,PT,SWN,,4
PTI,Privatair,I,,PTI,PTI.gif,4
PU,PLUNA,I,PU,PUA,,3
PV,Saint Barth Commuter,A,PV,SBU,PV.gif,3
PW,Precision Air Services,A,PW,,PW.gif,3
PWA,Priester Aviation,A,,PWA,,4
PX,Air Niugini,I,PX,ANG,,3
PY,Surinam Airways,I,PY,SLM,PY.gif,3
PZ,TAM,I,PZ,LAP,,3
Q2,Maldivian,I,Q2,,,3
Q3,Zambian Airways,I,Q3,MAZ,Q3.gif,3
Q4,Starlink Aviation,I,Q4,TLK,,3
Q5,40-Mile Air,I,Q5,MLA,,3
Q6,Skytrans,A,Q6,SKP,,3
Q7,Sky Bahamas,A,Q7,,,4
Q8,Pacific East Asia Cargo,C,Q8,PEC,,4
Q8*,Trans Air Congo,A,Q8,,,3
Q9,Arik Niger,I,Q9,NAK,,4
QB,Georgian National Airlines,A,QB,,QB.gif,3
QD,AEROVIP,A,QD,,,3
QE,Crossair Europe,A,QE,,,4
QF,Qantas Airways,I,QF,QFA,QF.gif,1
QFA,Eastern Australia,I,,EAQ,,4
QG,Global Aviation,I,QG,GBB,,4
QGA,Windrose Air,I,,QGA,,4
QH,Kyrgyzstan,I,QH,LYN,,3
QI,Cimber Sterling,I,QI,CIM,QI.gif,2
QJ,Jet Airways,C,QJ,,,3
QJ*,Jet Airways Inc.,I,QJ,,,4
QK,Jazz Aviation,I,QK,JZA,QK.gif,4
QL,LASER Airlines,I,QL,LER,,3
QM,Air Malawi,I,QM,AML,QM.gif,3
QN*,Air Armenia,I,QN,,,4
QNZ,Jetconnect,I,,QNZ,QNZ.gif,3
QO,Aeromexpress,C,QO,MPX,,3
QO*,Origin Pacific Airways,A,QO,OGN,QO@.gif,3
QP,Starlight Airlinesv,I,QP,,,3
QQ,Alliance Airlines,A,QQ,UTY,QQ.gif,3
QR,Qatar Airways,I,QR,QTR,QR.gif,2
QS,Smart Wings,A,QS,TVS,,3
QSC,African Safari Airways,I,,QSC,QSC.gif,4
QT,Tampa Cargo,C,QT,TPA,,3
QT*,Regional Air,A,QT,,,3
QU,UTair Ukraine,I,QU,UTN,,3
QUE,Gouvernement Du Quebec,B,,QUE,,4
QV,Lao Aviation,I,QV,LAO,QV.gif,3
QW,Blue Wings,A,QW,,QW.gif,4
QX,Horizon Air,I,QX,QXE,QX.gif,4
QY,European Air Transport,C,QY,BCS,QY.gif,4
QZ,Indonesia AirAsia,I,QZ,AWQ,QZ.gif,3
R0,Royal Airlines,I,R0,,,4
R2,Orenair,I,R2,ORB,,3
R3,Yakutia,I,R3,SYL,,4
R4,Tulpar Avia Service,I,R4,SDM,,4
R6,Dot LT,A,R6,DNU,,4
R7,Aserca Airlines,A,R7,OCA,R7.gif,3
R8,Kyrghyzstan Airlines,I,R8,KGA,R8.gif,3
R9,TAF Linhas Aereas,I,R9,,,4
RA,Nepal Airlines,I,RA,RNA,RA.gif,3
RAC,Ryukyu Air Commuter,B,,RAC,,4
RAX,"Royal Air Freight, Inc.",C,,RAX,,4
RB,Syrian Arab Airlines,I,RB,SYR,RB.gif,3
RBG,Air Arabia Egypt,I,E5,RBG,,4
RC,Atlantic Airways Faroe Islands,I,RC,FLI,RC.gif,3
RCY,"Package Express, Inc.",C,,RCY,,4
RD,Ryan International Airlines,C,RD,RYN,RD.gif,4
RE,Aer Arann,I,RE,REA,RE.gif,3
REX,"Ram Air Freight, Inc.",C,,REX,,4
RF,Florida West International Airways,C,RF,FWL,,3
RFJ,Royal Falcon,I,RL,RFJ,,4
